RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           12     M =           20

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  146  295     1     3  con    0  1.0D+00  2.4D-06  9.035D-04  2.061D+00
  147  297     1     3  con    1  5.2D-01  6.6D-07  1.265D-03  2.061D+00
  148  300     1     3  con    2  5.3D-01  9.2D-06  2.094D-03  2.061D+00
  149  301     1     3  con    0  1.0D+00  1.7D-06  2.173D-03  2.061D+00
  150  303     1     3  con    1  8.7D-02  2.6D-06  5.137D-03  2.061D+00
  151  304     1     3  con    0  1.0D+00  1.4D-06  3.509D-03  2.061D+00
  152  306     1     3  con    1  3.5D-01  6.1D-07  1.022D-03  2.061D+00
  153  308     1     3  con    1  2.9D-01  3.3D-07  1.286D-03  2.061D+00
  154  309     1     3  con    0  1.0D+00  4.9D-07  1.754D-03  2.061D+00
  155  310     1     3  con    0  1.0D+00  4.0D-06  5.028D-03  2.061D+00
  156  313     1     3  con    2  2.6D-01  2.6D-06  7.464D-03  2.061D+00
  157  314     1     3  con    0  1.0D+00  4.4D-06  6.932D-03  2.061D+00
  158  316     1     3  con    1  1.6D-01  3.7D-05  9.028D-03  2.061D+00
  159  318     1     3  con    1  2.6D-01  2.3D-05  8.139D-03  2.061D+00
  160  320     1     3  con    1  3.2D-01  2.9D-05  4.401D-03  2.061D+00
  161  321     1     3  con    0  1.0D+00  7.1D-06  2.377D-03  2.061D+00
  162  323     1     3  con    1  3.4D-01  1.5D-05  8.115D-03  2.061D+00
  163  324     1     3  con    0  1.0D+00  1.5D-05  8.968D-03  2.061D+00
  164  325     1     3  con    0  1.0D+00  1.5D-05  6.748D-03  2.061D+00
  165  326     1     3  con    0  1.0D+00  1.4D-05  8.813D-04  2.061D+00
  166  327     1     3  con    0  1.0D+00  8.4D-06  1.487D-03  2.061D+00
  167  334     1     3  con    6  9.2D+01  1.5D-03  2.421D-02  2.061D+00
  168  343     1     3  bnd    8  2.6D-06  5.3D-08  2.565D-02  2.061D+00
  169  348     1     3  con    4  3.5D-01  4.0D-04  1.629D-02  2.061D+00
  170  353     1     3  con    4  1.1D+00  1.4D-04  5.866D-03  2.061D+00
  171  357     1     3  con    3  1.2D+00  5.2D-04  3.316D-02  2.061D+00
  172  358     1     3  con    0  1.0D+00  1.3D-04  1.221D-02  2.061D+00
  173  359     1     3  con    0  1.0D+00  1.3D-04  1.644D-02  2.061D+00
  174  362     1     3  con    2  1.9D+00  1.9D-04  5.072D-03  2.061D+00
  175  368     1     3  con    5  3.0D+00  2.0D-04  1.892D-02  2.061D+00
  176  373     1     3  con    4  4.8D-03  7.0D-06  1.916D-02  2.061D+00
  177  374     1     3  con    0  1.0D+00  2.0D-05  1.182D-02  2.061D+00
  178  375     1     3  con    0  1.0D+00  1.5D-05  2.031D-02  2.061D+00
  179  376     1     3  con    0  1.0D+00  2.8D-05  2.626D-02  2.061D+00
  180  378     1     3  con    1  5.0D+00  1.3D-04  3.651D-02  2.061D+00
  181  379     1     3  con    0  1.0D+00  2.1D-05  7.575D-03  2.061D+00
  182  380     1     3  con    0  1.0D+00  1.2D-04  3.845D-02  2.061D+00
  183  381     1     3  con    0  1.0D+00  1.3D-05  1.329D-02  2.061D+00
  184  382     1     3  con    0  1.0D+00  9.7D-05  1.747D-02  2.061D+00
  185  384     1     3  con    1  5.0D+00  6.8D-05  3.856D-02  2.061D+00
  186  385     1     3  con    0  1.0D+00  1.8D-04  4.688D-02  2.061D+00
  187  386     1     3  con    0  1.0D+00  2.3D-03  3.985D-02  2.061D+00
  188  387     1     3  con    0  1.0D+00  3.9D-03  2.503D-02  2.061D+00
  189  388     1     3  con    0  1.0D+00  2.9D-03  4.322D-02  2.061D+00
  190  396     1     3  bnd    7  1.3D-01  8.3D-03  2.028D-01  2.061D+00
  191  408     1     3  bnd   11  7.0D-07  2.7D-08  2.019D-01  2.061D+00
  192  409     1     3  con    0  1.0D+00  6.2D-03  1.485D-01  2.061D+00
  193  410     1     3  con    0  1.0D+00  1.7D-03  1.008D-01  2.061D+00
  194  412     1     3  bnd    1  4.2D-01  5.7D-03  4.864D-03  2.061D+00
  195  425     1     3  bnd   12  1.8D-07  1.4D-09  4.718D-03  2.061D+00
  196  430     1     3  con    4  2.8D+00  6.2D-04  1.041D-02  2.061D+00
  197  431     1     3  con    0  1.0D+00  4.5D-05  1.899D-02  2.061D+00
  198  433     1     3  con    1  1.2D-01  1.5D-04  2.665D-02  2.061D+00
  199  434     1     3  con    0  1.0D+00  1.9D-05  1.820D-02  2.061D+00
  200  436     1     3  con    1  1.3D-01  4.7D-05  2.361D-02  2.061D+00
  201  437     1     3  con    0  1.0D+00  1.9D-05  1.857D-02  2.061D+00
  202  438     1     3  con    0  1.0D+00  3.0D-04  6.808D-02  2.061D+00
  203  440     1     3  con    1  5.0D+00  6.2D-04  7.990D-02  2.061D+00
  204  441     1     2  bnd    0  1.0D+00  9.7D-05  2.101D-02  2.061D+00
  205  442     1     3  con    0  1.0D+00  1.6D-04  1.424D-02  2.061D+00
  206  443     1     3  con    0  1.0D+00  7.1D-05  2.157D-03  2.061D+00
  207  444     1     3  con    0  1.0D+00  4.7D-05  9.812D-03  2.061D+00
  208  445     1     3  con    0  1.0D+00  1.4D-04  1.872D-02  2.061D+00
  209  446     1     3  con    0  1.0D+00  9.6D-05  1.676D-03  2.061D+00
  210  447     1     3  con    0  1.0D+00  2.4D-05  2.205D-03  2.061D+00
  211  451     1     3  con    3  4.8D-01  5.1D-05  7.250D-03  2.061D+00
  212  452     1     3  con    0  1.0D+00  4.4D-05  4.051D-03  2.061D+00
  213  455     1     3  con    2  8.9D-01  5.0D-04  1.894D-02  2.061D+00
  214  456     1     3  con    0  1.0D+00  1.9D-04  4.144D-03  2.061D+00
  215  460     1     3  con    3  5.6D-04  4.1D-08  4.888D-03  2.061D+00
  216  462     1     3  con    1  1.3D-01  9.9D-06  1.634D-03  2.061D+00
  217  464     1     3  con    1  2.0D-01  9.7D-06  2.458D-03  2.061D+00
  218  467     1     3  con    2  1.8D+00  5.7D-06  1.426D-03  2.061D+00
  219  468     1     3  con    0  1.0D+00  4.5D-06  2.529D-03  2.061D+00
  220  469     1     3  con    0  1.0D+00  3.6D-06  3.167D-03  2.061D+00
  221  470     1     3  con    0  1.0D+00  3.2D-06  3.261D-03  2.061D+00
  222  472     1     3  con    1  5.0D+00  8.1D-05  7.331D-03  2.061D+00
